Bank,Year,Stock,ROE,NIM,NPA,CASA,CAR,Revenue_Growth,NII_Growth,PE_Ratio,Inflation_Rate,GDP_Growth,NIFTY_Return,NIFTY_Volatility,USD_INR
Axis Bank,2016,AXISBANK.NS,6.94,2.94,1.0,44.84,19.12,6.513771408399527,-9.433962264150953,27.7259038289388,4.94821634062141,8.25630550179086,5.06,15.09,67.16636634329727
Axis Bank,2017,AXISBANK.NS,6.94,2.94,1.0,44.84,19.12,6.513771408399527,-9.433962264150953,27.7259038289388,3.32817337461298,6.79538341897911,28.75,9.05,65.1095932213835
Axis Bank,2018,AXISBANK.NS,6.94,2.94,1.0,44.84,19.12,6.513771408399527,-9.433962264150953,27.7259038289388,3.9388264669163,6.45385134497769,4.03,12.88,68.45175550906595
Axis Bank,2019,AXISBANK.NS,6.94,2.94,1.0,44.84,19.12,6.513771408399527,-9.433962264150953,27.7259038289388,3.72950573539129,3.87143694070356,12.75,13.95,70.50973287729117
Axis Bank,2020,AXISBANK.NS,6.94,2.94,1.0,44.84,19.12,6.513771408399527,-9.433962264150953,27.7259038289388,6.62343677628535,-5.77772470686801,14.77,31.39,74.22281195371205
Axis Bank,2021,AXISBANK.NS,6.94,2.94,1.0,44.84,19.12,6.513771408399527,-9.433962264150953,27.7259038289388,5.13140747176369,9.68959249192875,23.79,15.68,73.93580224048132
Axis Bank,2022,AXISBANK.NS,11.93,2.83,0.73,44.96,18.54,6.513771408399527,-9.433962264150953,17.208582339079484,6.69903414079852,7.60936497768895,2.72,17.29,78.57705098665677
Axis Bank,2023,AXISBANK.NS,8.33,3.27,0.39,47.12,17.64,23.27207629776231,-3.472222222222221,24.277115304129463,5.64914318907925,9.19075493028345,19.42,9.83,82.57708666874812
Axis Bank,2024,AXISBANK.NS,16.8,3.38,0.31,42.96,16.63,29.98887002230233,19.424460431654687,12.685242417279412,4.95303550973656,6.49476552383821,8.75,14.09,83.67036295301132
Axis Bank,2025,AXISBANK.NS,14.98,3.4,0.33,40.75,17.07,12.991943726675736,3.6144578313253017,11.786039225260417,4.95303550973656,6.49476552383821,10.05,11.83,87.1473529088358
Federal Bank,2016,FEDERALBNK.NS,10.08,2.86,1.0,34.05,14.62,1.4166718903830589,-2.1052631578947323,9.283882141113281,4.94821634062141,8.25630550179086,5.06,15.09,67.16636634329727
Federal Bank,2017,FEDERALBNK.NS,10.08,2.86,1.0,34.05,14.62,1.4166718903830589,-2.1052631578947323,9.283882141113281,3.32817337461298,6.79538341897911,28.75,9.05,65.1095932213835
Federal Bank,2018,FEDERALBNK.NS,10.08,2.86,1.0,34.05,14.62,1.4166718903830589,-2.1052631578947323,9.283882141113281,3.9388264669163,6.45385134497769,4.03,12.88,68.45175550906595
Federal Bank,2019,FEDERALBNK.NS,10.08,2.86,1.0,34.05,14.62,1.4166718903830589,-2.1052631578947323,9.283882141113281,3.72950573539129,3.87143694070356,12.75,13.95,70.50973287729117
Federal Bank,2020,FEDERALBNK.NS,10.08,2.86,1.0,34.05,14.62,1.4166718903830589,-2.1052631578947323,9.283882141113281,6.62343677628535,-5.77772470686801,14.77,31.39,74.22281195371205
Federal Bank,2021,FEDERALBNK.NS,10.08,2.86,1.0,34.05,14.62,1.4166718903830589,-2.1052631578947323,9.283882141113281,5.13140747176369,9.68959249192875,23.79,15.68,73.93580224048132
Federal Bank,2022,FEDERALBNK.NS,10.23,2.83,1.0,37.12,15.77,1.4166718903830589,-2.1052631578947323,10.728235032823351,6.69903414079852,7.60936497768895,2.72,17.29,78.57705098665677
Federal Bank,2023,FEDERALBNK.NS,14.3,2.92,0.69,32.73,14.81,22.696919125996963,-3.2258064516129115,8.306980387369792,5.64914318907925,9.19075493028345,19.42,9.83,82.57708666874812
Federal Bank,2024,FEDERALBNK.NS,12.89,2.85,0.6,29.53,16.13,32.269541550009116,12.222222222222223,9.055795108570772,4.95303550973656,6.49476552383821,8.75,14.09,83.67036295301132
Federal Bank,2025,FEDERALBNK.NS,12.04,2.9,0.44,30.41,16.4,19.59640728176999,6.930693069306937,11.106881534352022,4.95303550973656,6.49476552383821,10.05,11.83,87.1473529088358
HDFC Bank,2016,HDFCBANK.NS,15.17,3.85,0.0,46.07,18.79,7.576168036915876,-1.3245033112582738,11.609025626346982,4.94821634062141,8.25630550179086,5.06,15.09,67.16636634329727
HDFC Bank,2017,HDFCBANK.NS,15.17,3.85,0.0,46.07,18.79,7.576168036915876,-1.3245033112582738,11.609025626346982,3.32817337461298,6.79538341897911,28.75,9.05,65.1095932213835
HDFC Bank,2018,HDFCBANK.NS,15.17,3.85,0.0,46.07,18.79,7.576168036915876,-1.3245033112582738,11.609025626346982,3.9388264669163,6.45385134497769,4.03,12.88,68.45175550906595
HDFC Bank,2019,HDFCBANK.NS,15.17,3.85,0.0,46.07,18.79,7.576168036915876,-1.3245033112582738,11.609025626346982,3.72950573539129,3.87143694070356,12.75,13.95,70.50973287729117
HDFC Bank,2020,HDFCBANK.NS,15.17,3.85,0.0,46.07,18.79,7.576168036915876,-1.3245033112582738,11.609025626346982,6.62343677628535,-5.77772470686801,14.77,31.39,74.22281195371205
HDFC Bank,2021,HDFCBANK.NS,15.17,3.85,0.0,46.07,18.79,7.576168036915876,-1.3245033112582738,11.609025626346982,5.13140747176369,9.68959249192875,23.79,15.68,73.93580224048132
HDFC Bank,2022,HDFCBANK.NS,15.38,3.64,0.0,48.13,18.9,7.576168036915876,-1.3245033112582738,10.59447613884421,6.69903414079852,7.60936497768895,2.72,17.29,78.57705098665677
HDFC Bank,2023,HDFCBANK.NS,15.89,3.67,0.27,44.37,19.26,22.046341163800577,-10.067114093959727,9.777974198504191,5.64914318907925,9.19075493028345,19.42,9.83,82.57708666874812
HDFC Bank,2024,HDFCBANK.NS,14.03,3.21,0.33,38.13,18.8,99.34653076401025,129.8507462686567,8.373969184027779,4.95303550973656,6.49476552383821,8.75,14.09,83.67036295301132
HDFC Bank,2025,HDFCBANK.NS,13.56,3.47,0.43,34.74,19.55,15.422050630698036,-0.6493506493506551,9.464460289996603,4.95303550973656,6.49476552383821,10.05,11.83,87.1473529088358
SBI,2016,SBIN.NS,8.89,2.51,2.0,45.4,13.74,5.614604886116958,-1.3574660633484115,13.028759765625,4.94821634062141,8.25630550179086,5.06,15.09,67.16636634329727
SBI,2017,SBIN.NS,8.89,2.51,2.0,45.4,13.74,5.614604886116958,-1.3574660633484115,13.028759765625,3.32817337461298,6.79538341897911,28.75,9.05,65.1095932213835
SBI,2018,SBIN.NS,8.89,2.51,2.0,45.4,13.74,5.614604886116958,-1.3574660633484115,13.028759765625,3.9388264669163,6.45385134497769,4.03,12.88,68.45175550906595
SBI,2019,SBIN.NS,8.89,2.51,2.0,45.4,13.74,5.614604886116958,-1.3574660633484115,13.028759765625,3.72950573539129,3.87143694070356,12.75,13.95,70.50973287729117
SBI,2020,SBIN.NS,8.89,2.51,2.0,45.4,13.74,5.614604886116958,-1.3574660633484115,13.028759765625,6.62343677628535,-5.77772470686801,14.77,31.39,74.22281195371205
SBI,2021,SBIN.NS,8.89,2.51,2.0,45.4,13.74,5.614604886116958,-1.3574660633484115,13.028759765625,5.13140747176369,9.68959249192875,23.79,15.68,73.93580224048132
SBI,2022,SBIN.NS,12.53,2.49,1.02,44.51,13.85,5.614604886116958,-1.3574660633484115,12.015266418457031,6.69903414079852,7.60936497768895,2.72,17.29,78.57705098665677
SBI,2023,SBIN.NS,16.8,2.7,0.67,42.66,14.68,16.31681593493073,-5.963302752293598,8.048948718655494,5.64914318907925,9.19075493028345,19.42,9.83,82.57708666874812
SBI,2024,SBIN.NS,17.31,2.66,0.57,39.92,14.28,25.60252571020707,12.195121951219523,9.8240185546875,4.95303550973656,6.49476552383821,8.75,14.09,83.67036295301132
SBI,2025,SBIN.NS,16.87,2.59,0.47,38.76,14.25,11.565981005925408,2.1739130434782705,8.363107264727011,4.95303550973656,6.49476552383821,10.05,11.83,87.1473529088358
