,Year,Inflation_%,GDP_Growth_%,NIFTY_Return_%,NIFTY_Volatility_%,USD_INR,Company,Stock,Annual_Stock_Return_%,NC_Bn,CCG_%,TCV_Bn,AR_Bn
0,2016,4.94821634062141,8.25630550179086,5.063340006023842,15.092517348369597,93.17500305175781,Coforge,COFORGE.NS,-24.858266809906937,7.889,33.76438854910144,47.615,25.771
1,2017,4.443521403768855,7.355078423384276,35.159735336803344,9.045418548167069,93.16000366210938,Coforge,COFORGE.NS,55.16970593646897,7.889,33.76438854910144,47.615,25.771
2,2018,3.9388264669163,6.45385134497769,39.41896829784726,12.907253406694096,93.16500091552734,Coforge,COFORGE.NS,77.8086800576831,7.889,33.76438854910144,47.615,25.771
3,2019,3.72950573539129,7.001232062038842,56.17997638842704,13.959126861887587,93.15750122070312,Coforge,COFORGE.NS,38.95922727631251,7.889,33.76438854910144,47.615,25.771
4,2020,6.62343677628535,7.548612779099994,79.45336914885657,31.455450957379604,93.13999938964844,Coforge,COFORGE.NS,73.66040311762549,7.889,33.76438854910144,47.615,25.771
5,2021,6.29867224721665,8.095993496161146,122.73627271805454,15.696208019939736,93.13249969482422,Coforge,COFORGE.NS,118.37057650732876,7.889,33.76438854910144,47.615,25.771
6,2022,5.97390771814795,8.643374213222298,132.37843793865127,17.29203885498693,93.11750030517578,Coforge,COFORGE.NS,-34.12226444072232,7.889,33.76438854910144,47.615,25.771
7,2023,5.64914318907925,9.19075493028345,178.918806045054,9.825602059591837,93.12000274658203,Coforge,COFORGE.NS,61.47152235504605,7.889,33.76438854910144,47.615,25.771
8,2024,5.64914318907925,9.19075493028345,203.47697270004318,14.1216835799063,93.07499694824219,Coforge,COFORGE.NS,58.048100333426135,7.889,33.76438854910144,47.615,25.771
9,2025,5.64914318907925,9.19075493028345,235.36894054127632,11.832122249288595,93.09750366210938,Coforge,COFORGE.NS,-12.849999243334997,7.889,33.76438854910144,47.615,25.771
10,2026,5.64914318907925,9.19075493028345,186.94440952329265,18.222169841874376,93.10250091552734,Coforge,COFORGE.NS,-28.12314767512606,7.889,33.76438854910144,47.615,25.771
11,2016,4.94821634062141,8.25630550179086,5.063340006023842,15.092517348369597,93.17500305175781,Infosys,INFY.NS,-6.506974233324836,2.861,3.8519556082318607,11.359,3.645
12,2017,4.443521403768855,7.355078423384276,35.159735336803344,9.045418548167069,93.16000366210938,Infosys,INFY.NS,7.161595561628298,2.861,3.8519556082318607,11.359,3.645
13,2018,3.9388264669163,6.45385134497769,39.41896829784726,12.907253406694096,93.16500091552734,Infosys,INFY.NS,32.06011968788371,2.861,3.8519556082318607,11.359,3.645
14,2019,3.72950573539129,7.001232062038842,56.17997638842704,13.959126861887587,93.15750122070312,Infosys,INFY.NS,13.5161522234031,2.861,3.8519556082318607,11.359,3.645
15,2020,6.62343677628535,7.548612779099994,79.45336914885657,31.455450957379604,93.13999938964844,Infosys,INFY.NS,74.60388428374596,2.861,3.8519556082318607,11.359,3.645
16,2021,6.29867224721665,8.095993496161146,122.73627271805454,15.696208019939736,93.13249969482422,Infosys,INFY.NS,52.72574134701395,2.861,3.8519556082318607,11.359,3.645
17,2022,5.97390771814795,8.643374213222298,132.37843793865127,17.29203885498693,93.11750030517578,Infosys,INFY.NS,-18.83750493868297,2.861,3.8519556082318607,11.359,3.645
18,2023,5.64914318907925,9.19075493028345,178.918806045054,9.825602059591837,93.12000274658203,Infosys,INFY.NS,3.928933656373279,2.861,3.8519556082318607,11.359,3.645
19,2024,5.64914318907925,9.19075493028345,203.47697270004318,14.1216835799063,93.07499694824219,Infosys,INFY.NS,25.016853308104213,2.861,3.8519556082318607,11.359,3.645
20,2025,5.64914318907925,9.19075493028345,235.36894054127632,11.832122249288595,93.09750366210938,Infosys,INFY.NS,-11.64904580138656,2.861,3.8519556082318607,11.359,3.645
21,2026,5.64914318907925,9.19075493028345,186.94440952329265,18.222169841874376,93.10250091552734,Infosys,INFY.NS,-22.199045158224784,2.861,3.8519556082318607,11.359,3.645
22,2016,4.94821634062141,8.25630550179086,5.063340006023842,15.092517348369597,93.17500305175781,Tech Mahindra,TECHM.NS,-3.698040115819057,43.185,1.9092000092315597,236.792,65.486
23,2017,4.443521403768855,7.355078423384276,35.159735336803344,9.045418548167069,93.16000366210938,Tech Mahindra,TECHM.NS,5.732983675402448,43.185,1.9092000092315597,236.792,65.486
24,2018,3.9388264669163,6.45385134497769,39.41896829784726,12.907253406694096,93.16500091552734,Tech Mahindra,TECHM.NS,46.99847632696213,43.185,1.9092000092315597,236.792,65.486
25,2019,3.72950573539129,7.001232062038842,56.17997638842704,13.959126861887587,93.15750122070312,Tech Mahindra,TECHM.NS,8.303314500280745,43.185,1.9092000092315597,236.792,65.486
26,2020,6.62343677628535,7.548612779099994,79.45336914885657,31.455450957379604,93.13999938964844,Tech Mahindra,TECHM.NS,35.550447495438455,43.185,1.9092000092315597,236.792,65.486
27,2021,6.29867224721665,8.095993496161146,122.73627271805454,15.696208019939736,93.13249969482422,Tech Mahindra,TECHM.NS,89.87368427783913,43.185,1.9092000092315597,236.792,65.486
28,2022,5.97390771814795,8.643374213222298,132.37843793865127,17.29203885498693,93.11750030517578,Tech Mahindra,TECHM.NS,-40.35093054134001,43.185,1.9092000092315597,236.792,65.486
29,2023,5.64914318907925,9.19075493028345,178.918806045054,9.825602059591837,93.12000274658203,Tech Mahindra,TECHM.NS,30.766217022208387,43.185,1.9092000092315597,236.792,65.486
30,2024,5.64914318907925,9.19075493028345,203.47697270004318,14.1216835799063,93.07499694824219,Tech Mahindra,TECHM.NS,35.17474299281644,43.185,1.9092000092315597,236.792,65.486
31,2025,5.64914318907925,9.19075493028345,235.36894054127632,11.832122249288595,93.09750366210938,Tech Mahindra,TECHM.NS,-3.9275674332836075,43.185,1.9092000092315597,236.792,65.486
32,2026,5.64914318907925,9.19075493028345,186.94440952329265,18.222169841874376,93.10250091552734,Tech Mahindra,TECHM.NS,-12.197548145908533,43.185,1.9092000092315597,236.792,65.486
33,2016,4.94821634062141,8.25630550179086,5.063340006023842,15.092517348369597,93.17500305175781,Wipro,WIPRO.NS,-13.80071805280172,58.02,-0.7485491915691034,777.775,117.745
34,2017,4.443521403768855,7.355078423384276,35.159735336803344,9.045418548167069,93.16000366210938,Wipro,WIPRO.NS,33.87100098327893,58.02,-0.7485491915691034,777.775,117.745
35,2018,3.9388264669163,6.45385134497769,39.41896829784726,12.907253406694096,93.16500091552734,Wipro,WIPRO.NS,4.858683480817039,58.02,-0.7485491915691034,777.775,117.745
36,2019,3.72950573539129,7.001232062038842,56.17997638842704,13.959126861887587,93.15750122070312,Wipro,WIPRO.NS,0.6149240202492967,58.02,-0.7485491915691034,777.775,117.745
37,2020,6.62343677628535,7.548612779099994,79.45336914885657,31.455450957379604,93.13999938964844,Wipro,WIPRO.NS,56.564137763526645,58.02,-0.7485491915691034,777.775,117.745
38,2021,6.29867224721665,8.095993496161146,122.73627271805454,15.696208019939736,93.13249969482422,Wipro,WIPRO.NS,84.73545119550603,58.02,-0.7485491915691034,777.775,117.745
39,2022,5.97390771814795,8.643374213222298,132.37843793865127,17.29203885498693,93.11750030517578,Wipro,WIPRO.NS,-44.80807248332832,58.02,-0.7485491915691034,777.775,117.745
40,2023,5.64914318907925,9.19075493028345,178.918806045054,9.825602059591837,93.12000274658203,Wipro,WIPRO.NS,20.20376070037404,58.02,-0.7485491915691034,777.775,117.745
41,2024,5.64914318907925,9.19075493028345,203.47697270004318,14.1216835799063,93.07499694824219,Wipro,WIPRO.NS,26.791880702103697,58.02,-0.7485491915691034,777.775,117.745
42,2025,5.64914318907925,9.19075493028345,235.36894054127632,11.832122249288595,93.09750366210938,Wipro,WIPRO.NS,-8.826799568701505,58.02,-0.7485491915691034,777.775,117.745
43,2026,5.64914318907925,9.19075493028345,186.94440952329265,18.222169841874376,93.10250091552734,Wipro,WIPRO.NS,-26.230157884469417,58.02,-0.7485491915691034,777.775,117.745
