,Year,Company,Annual_Stock_Return_%,Revenue_Growth_%,EBITDA_Margin_%,Debt_Equity_Ratio,ROCE_%,PE_Ratio,NIFTY_Return_%,NIFTY_Volatility_%,Inflation_Rate_%,GDP_Growth_%,USD_INR
0,2016,GAIL,20.59,-4.5,8.65,25.37,15.14,10.73,5.06,15.09,,,67.92
1,2016,ONGC,22.4,0.8,14.86,43.8,10.85,9.45,5.06,15.09,,,67.92
2,2016,RELIANCE,7.8,10.4,16.44,35.65,8.56,21.81,5.06,15.09,,,67.92
3,2016,TATAPOWER,11.93,-9.4,20.63,156.16,9.6,31.61,5.06,15.09,,,67.92
4,2017,GAIL,56.94,-4.5,8.65,25.37,15.14,10.73,28.75,9.05,,,63.88
5,2017,ONGC,4.86,0.8,14.86,43.8,10.85,9.45,28.75,9.05,,,63.88
6,2017,RELIANCE,71.11,10.4,16.44,35.65,8.56,21.81,28.75,9.05,,,63.88
7,2017,TATAPOWER,26.11,-9.4,20.63,156.16,9.6,31.61,28.75,9.05,,,63.88
8,2018,GAIL,-2.81,-4.5,8.65,25.37,15.14,10.73,4.0,12.91,3.94,6.45,69.63
9,2018,ONGC,-20.17,0.8,14.86,43.8,10.85,9.45,4.0,12.91,3.94,6.45,69.63
10,2018,RELIANCE,24.55,10.4,16.44,35.65,8.56,21.81,4.0,12.91,3.94,6.45,69.63
11,2018,TATAPOWER,-19.18,-9.4,20.63,156.16,9.6,31.61,4.0,12.91,3.94,6.45,69.63
12,2019,GAIL,-32.57,-4.5,8.65,25.37,15.14,10.73,13.56,13.96,,,71.38
13,2019,ONGC,-9.54,0.8,14.86,43.8,10.85,9.45,13.56,13.96,,,71.38
14,2019,RELIANCE,38.58,10.4,16.44,35.65,8.56,21.81,13.56,13.96,,,71.38
15,2019,TATAPOWER,-24.97,-9.4,20.63,156.16,9.6,31.61,13.56,13.96,,,71.38
16,2020,GAIL,7.16,-4.5,8.65,25.37,15.14,10.73,14.77,31.46,,-5.78,73.07
17,2020,ONGC,-21.4,0.8,14.86,43.8,10.85,9.45,14.77,31.46,,-5.78,73.07
18,2020,RELIANCE,33.98,10.4,16.44,35.65,8.56,21.81,14.77,31.46,,-5.78,73.07
19,2020,TATAPOWER,35.84,-9.4,20.63,156.16,9.6,31.61,14.77,31.46,,-5.78,73.07
20,2021,GAIL,10.49,-4.5,8.65,25.37,15.14,10.73,22.72,15.7,,,74.37
21,2021,ONGC,61.5,0.8,14.86,43.8,10.85,9.45,22.72,15.7,,,74.37
22,2021,RELIANCE,19.11,10.4,16.44,35.65,8.56,21.81,22.72,15.7,,,74.37
23,2021,TATAPOWER,185.81,-9.4,20.63,156.16,9.6,31.61,22.72,15.7,,,74.37
24,2022,GAIL,14.13,-4.5,8.65,25.37,15.14,10.73,2.72,17.29,,,82.66
25,2022,ONGC,11.44,0.8,14.86,43.8,10.85,9.45,2.72,17.29,,,82.66
26,2022,RELIANCE,6.31,10.4,16.44,35.65,8.56,21.81,2.72,17.29,,,82.66
27,2022,TATAPOWER,-6.28,-9.4,20.63,156.16,9.6,31.61,2.72,17.29,,,82.66
28,2023,GAIL,74.15,-4.5,8.65,25.37,15.14,10.73,19.42,9.83,,,83.17
29,2023,ONGC,44.5,0.8,14.86,43.8,10.85,9.45,19.42,9.83,,,83.17
30,2023,RELIANCE,9.11,10.4,16.44,35.65,8.56,21.81,19.42,9.83,,,83.17
31,2023,TATAPOWER,58.25,-9.4,20.63,156.16,9.6,31.61,19.42,9.83,,,83.17
32,2024,GAIL,17.11,-4.5,8.65,25.37,15.14,10.73,8.75,14.12,,,85.6
33,2024,ONGC,18.69,0.8,14.86,43.8,10.85,9.45,8.75,14.12,,,85.6
34,2024,RELIANCE,-6.2,10.4,16.44,35.65,8.56,21.81,8.75,14.12,,,85.6
35,2024,TATAPOWER,18.55,-9.4,20.63,156.16,9.6,31.61,8.75,14.12,,,85.6
36,2025,GAIL,-6.8,-4.5,8.65,25.37,15.14,10.73,9.25,11.83,,,89.87
37,2025,ONGC,4.03,0.8,14.86,43.8,10.85,9.45,9.25,11.83,,,89.87
38,2025,RELIANCE,26.59,10.4,16.44,35.65,8.56,21.81,9.25,11.83,,,89.87
39,2025,TATAPOWER,-4.03,-9.4,20.63,156.16,9.6,31.61,9.25,11.83,,,89.87
